-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0     30                                                               
  959.0    396   31.2   22.2     59  17.93    140      5  308.0  362.6  311.3
  943.0    548   29.4   18.4     52  14.33    144     14  307.7  351.2  310.3
  936.5    610   28.7   18.0     53  14.10    145     17  307.5  350.4  310.1
  925.0    721   27.4   17.4     54  13.70    150     18  307.3  348.9  309.8
  910.0    866   26.2   17.2     58  13.76    154     18  307.5  349.3  310.1
  905.0    914   25.9   16.9     58  13.60    155     18  307.7  349.0  310.2
  874.1   1219   23.7   15.3     59  12.67    180     18  308.5  347.2  310.9
  850.0   1464   22.0   14.0     60  11.96    205     21  309.2  345.8  311.4
  844.1   1524   21.4   14.1     63  12.15    205     21  309.2  346.5  311.5
  833.0   1639   20.4   14.4     68  12.53    205     23  309.3  347.7  311.6
  814.9   1829   19.3   10.9     58  10.18    205     25  310.1  341.5  312.0
  810.0   1881   19.0   10.0     56   9.60    204     26  310.3  340.0  312.1
  794.0   2052   17.4   11.4     68  10.77    201     30  310.3  343.6  312.4
  786.5   2134   17.0    9.5     61   9.56    200     32  310.8  340.4  312.6
  779.0   2215   16.6    7.6     55   8.47    201     32  311.2  337.6  312.8
  772.0   2292   17.0    4.0     42   6.65    203     33  312.4  333.4  313.7
  758.9   2438   17.4    2.4     36   6.01    205     33  314.4  333.6  315.5
  753.0   2505   17.6    1.6     34   5.74    206     32  315.3  333.8  316.4
  732.1   2743   15.7    0.6     36   5.47    210     30  315.7  333.4  316.8
  706.0   3051   13.2   -0.8     38   5.14    210     26  316.3  333.0  317.3
  700.0   3123   12.8   -2.2     35   4.67    210     25  316.6  331.9  317.5
  656.5   3658    9.4   -5.6     34   3.85    220     28  318.6  331.4  319.4
  647.0   3779    8.6   -6.4     34   3.68    225     27  319.1  331.3  319.8
  609.5   4267    4.5  -11.8     29   2.54    245     25  319.9  328.6  320.4
  594.0   4478    2.8  -14.2     27   2.16    247     26  320.2  327.7  320.6
  564.8   4877   -0.8  -14.8     34   2.16    250     29  320.6  328.0  321.0
  504.0   5778   -9.1  -16.1     57   2.17    250     30  321.1  328.6  321.6
  500.0   5840   -9.9  -16.9     57   2.05    250     30  320.9  328.0  321.3
  483.6   6096  -12.1  -19.1     56   1.75    245     31  321.2  327.4  321.6
  464.0   6412  -14.9  -21.9     55   1.44    250     35  321.6  326.7  321.9
  447.0   6694  -17.1  -24.1     55   1.23    255     39  322.3  326.7  322.5
  446.3   6706  -17.1  -24.5     53   1.18    255     39  322.4  326.6  322.6
  433.0   6932  -17.9  -31.9     28   0.61    252     39  324.2  326.5  324.3
  425.0   7072  -18.9  -35.9     21   0.42    251     39  324.7  326.3  324.8
  400.0   7520  -23.1  -37.1     27   0.40    245     38  324.9  326.4  325.0
  394.6   7620  -24.0  -38.8     24   0.34    245     36  324.9  326.3  325.0
  393.0   7649  -24.3  -39.3     24   0.32    245     36  325.0  326.2  325.0
  371.0   8066  -26.3  -49.3     10   0.12    238     36  327.7  328.2  327.7
  353.0   8424  -28.1  -49.1     12   0.12    232     36  330.0  330.5  330.0
  347.6   8534  -28.8  -53.9      7   0.07    230     36  330.5  330.8  330.5
  336.0   8776  -30.3  -64.3      2   0.02    232     38  331.6  331.7  331.6
  318.8   9144  -33.3  -67.7      2   0.01    235     41  332.5  332.6  332.6
  300.0   9570  -36.7  -71.7      1   0.01    240     41  333.5  333.6  333.5
  297.0   9639  -37.3  -72.3      1   0.01    240     42  333.6  333.7  333.6
  251.0  10783  -44.7  -72.7      3   0.01    240     52  339.1  339.1  339.1
  250.0  10810  -44.9  -72.9      3   0.01    240     52  339.2  339.2  339.2
  243.9  10973  -46.3  -72.6      3   0.01    240     53  339.5  339.6  339.5
  219.0  11684  -52.3  -71.3      8   0.01    243     52  340.8  340.9  340.8
  200.0  12270  -54.3  -73.3      8   0.01    245     52  346.6  346.7  346.6
  195.0  12432  -54.1  -76.1      5   0.01    245     52  349.4  349.5  349.5
  187.0  12699  -55.1  -83.1      2   0.00    245     51  352.1  352.1  352.1
  167.0  13419  -54.9  -86.9      1   0.00    245     49  363.9  363.9  363.9
  159.4  13716  -56.0  -88.0      1   0.00    245     48  367.1  367.1  367.1
  157.0  13811  -56.3  -88.3      1   0.00    247     46  368.1  368.1  368.1
  151.9  14021  -56.0  -88.0      1   0.00    250     40  372.1  372.1  372.1
  150.0  14100  -55.9  -87.9      1   0.00    250     41  373.6  373.6  373.6
  146.0  14272  -55.5  -87.5      1   0.00    239     39  377.1  377.2  377.1
  144.8  14326  -55.8  -87.8      1   0.00    235     39  377.6  377.6  377.6
  140.0  14538  -56.9  -88.9      1   0.00    244     36  379.2  379.2  379.2
  137.0  14676  -55.3  -87.3      1   0.00    250     35  384.4  384.4  384.4
  127.0  15156  -57.5  -89.5      1   0.00    271     29  388.9  388.9  388.9
  125.3  15240  -57.3  -89.3      1   0.00    275     28  390.7  390.7  390.7
  125.0  15256  -57.3  -89.3      1   0.00    274     27  391.0  391.0  391.0
  119.3  15545  -59.5  -90.7      1   0.00    255     17  392.2  392.2  392.2
  113.6  15850  -61.8  -92.2      1   0.00    240     20  393.4  393.4  393.4
  111.0  15996  -62.9  -92.9      1   0.00    247     26  394.0  394.0  394.0
  108.2  16154  -63.5  -93.5      1   0.00    255     33  395.9  395.9  395.9
  107.0  16221  -63.7  -93.7      1   0.00    255     32  396.6  396.6  396.6
  106.0  16279  -63.1  -93.1      1   0.00    253     31  398.9  398.9  398.9
  104.0  16397  -61.3  -92.3      1   0.00    249     28  404.5  404.5  404.5
  100.0  16640  -60.5  -91.5      1   0.00    240     23  410.6  410.6  410.6
   96.7  16850  -58.9  -89.9      1   0.00    243     23  417.6  417.6  417.6
   87.7  17460  -60.5  -91.5      1   0.00    252     25  426.2  426.3  426.2
   84.7  17678  -59.2  -90.2      1   0.00    255     25  433.1  433.1  433.1
   84.0  17730  -58.9  -89.9      1   0.00    256     22  434.8  434.8  434.8
   80.7  17983  -59.9  -90.9      1   0.00    260      6  437.7  437.7  437.7
   79.5  18074  -60.3  -91.3      1   0.00    244      9  438.8  438.8  438.8
   76.8  18288  -59.9  -90.9      1   0.00    205     17  444.0  444.0  444.0
   70.0  18870  -58.7  -89.7      1   0.00    230      9  458.5  458.5  458.5
   67.9  19062  -57.9  -89.9      1   0.00    221      9  464.2  464.2  464.2
   63.7  19465  -58.5  -89.5      1   0.00    202      8  471.4  471.4  471.4
   61.9  19647  -55.7  -87.7      1   0.00    193      8  481.5  481.5  481.5
   53.5  20577  -55.9  -87.9      1   0.00    150      6  501.5  501.5  501.5
   50.0  21010  -54.3  -87.3      1   0.00    130      5  515.1  515.1  515.1
   49.1  21127  -53.7  -86.7      1   0.00    153      5  519.2  519.2  519.2
   47.5  21336  -53.8  -86.8      1   0.00    195      6  523.9  524.0  523.9
   37.9  22789  -54.1  -87.1      1   0.01     57      1  558.0  558.1  558.0
   37.5  22860  -53.8  -86.8      1   0.01     50      1  560.6  560.6  560.6
   35.3  23246  -52.1  -85.1      1   0.01     64      4  574.7  574.7  574.7
   33.8  23527  -53.5  -86.5      1   0.01     75      7  578.1  578.2  578.1
   31.0  24079  -50.6  -84.6      1   0.01     95     12  600.1  600.2  600.1
   30.9  24107  -50.5  -84.5      1   0.01     98     12  601.3  601.4  601.3
   30.0  24300  -50.7  -84.7      1   0.01    115     11  605.8  605.9  605.8
   29.6  24384  -51.0  -84.7      1   0.01    135      9  607.3  607.4  607.3
   28.7  24589  -51.7  -84.7      1   0.01    127      9  610.8  610.9  610.8
   22.7  26117  -50.3  -84.3      1   0.01     64     12  657.2  657.4  657.2
   22.4  26213  -50.0  -84.1      1   0.02     60     12  660.8  660.9  660.8
   20.4  26822  -48.3  -83.1      1   0.02     95     16  683.8  684.0  683.9
   20.0  26950  -47.9  -82.9      1   0.02     95     15  688.8  689.0  688.8
   19.5  27127  -47.1  -82.3      1   0.02     80     16  696.4  696.6  696.4
   18.6  27432  -45.8  -81.4      1   0.03     90     18  709.6  710.0  709.6
   17.8  27737  -44.5  -80.4      1   0.04    105     22  723.1  723.5  723.1
   17.5  27838  -44.1  -80.1      1   0.04    108     20  727.6  728.1  727.7
   17.0  28042  -44.2  -80.2      1   0.04    115     17  733.8  734.2  733.8
   15.8  28523  -44.3  -80.3      1   0.04     75     12  748.5  749.0  748.6
